item_name:string,menu_id:integer,price:float,image:string
Ha Tien Special Extra Large Combo Noodle Soup,1,19.25,
Combo Beef Noodle Soup,1,16.75,
Rare Beef,1,16.75,
Beef Meatball,1,16.75,
Rare Beef with Chicken,1,16.75,
